liczba paneli,Z MAGAZYNAMI i tongwei 500W,STRING i tongwei 500W,Z MAGAZYNAMI i JASOLAR 500W FB,STRING i JASOLAR 500W FB,inwenter hybrydowy,magazyn 5 kw,magazyn 10 kw,magazyn 15 kw
8,1450,1480,1500,1530,5800,5500,8200,12200
9,1350,1375,1400,1425,5800,5500,8200,12200
10,1310,1335,1360,1385,5800,5500,8200,12200
11,1280,1305,1330,1355,5800,5500,8200,12200
12,1270,1290,1320,1340,5800,5500,8200,12200
13,1270,1290,1320,1340,5800,5500,7700,11700
14,1235,1260,1285,1310,5800,5500,7700,11700
15,1210,1235,1260,1285,5800,5500,7700,11700
16,1190,1215,1240,1265,5800,5500,7700,11700
17,1180,1205,1230,1255,5800,5500,7700,11700
18,1170,1195,1220,1245,5800,5500,7700,11700
19,1160,1185,1210,1235,5800,5500,7700,11700
20,1150,1150,1200,1200,5800,5500,7700,11700
21,1155,1150,1205,1200,5800,4500,7700,11700
22,1155,1150,1205,1200,5800,4500,7700,11700
23,1150,1150,1200,1200,5800,4500,7700,11700
24,1150,1150,1200,1200,5800,4500,7700,11700
25,1145,1150,1195,1200,5800,4500,7700,11700
26,1145,1150,1195,1200,5800,4500,7700,11700
27,1140,1150,1190,1200,5800,4500,7700,11700
28,1140,1150,1190,1200,5800,4500,7700,11700
29,1140,1150,1190,1200,5800,4500,7700,11700
30,1140,1150,1190,1200,5800,4500,7700,11700
31,,1150,,1200,,,,
32,,1145,,1195,,,,
33,,1145,,1195,,,,
34,,1145,,1195,,,,
35,,1140,,1190,,,,
36,,1140,,1190,,,,
37,,1300,,1180,,,,
38,,1300,,1180,,,,
39,,1200,,1170,,,,
40,,1200,,1170,,,,
41,,1100,,1160,,,,
42,,1100,,1160,,,,
43,,1000,,1050,,,,
44,,1000,,1050,,,,
45,,1000,,1050,,,,
46,,990,,1040,,,,
47,,990,,1040,,,,
48,,990,,1040,,,,
49,,980,,1030,,,,
50,,980,,1030,,,,
51,,980,,1030,,,,
52,,970,,1020,,,,
53,,970,,1020,,,,
54,,970,,1020,,,,
55,,960,,1010,,,,
56,,960,,1010,,,,
57,,960,,1010,,,,
58,,960,,1010,,,,
59,,950,,1000,,,,
60,,950,,1000,,,,
61,,950,,1000,,,,
62,,940,,990,,,,
63,,940,,990,,,,
64,,940,,990,,,,
65,,930,,980,,,,
66,,930,,980,,,,
67,,930,,980,,,,
68,,920,,970,,,,
69,,920,,970,,,,
70,,920,,970,,,,
71,,910,,960,,,,
72,,910,,960,,,,
73,,910,,960,,,,
74,,900,,950,,,,
75,,900,,950,,,,
76,,900,,950,,,,
77,,890,,940,,,,
78,,890,,840,,,,
79,,890,,940,,,,
80,,880,,930,,,,
81,,880,,930,,,,
82,,880,,930,,,,
83,,860,,910,,,,
84,,860,,910,,,,
85,,860,,910,,,,
86,,840,,890,,,,
87,,840,,890,,,,
88,,840,,840,,,,
89,,820,,870,,,,
90,,820,,870,,,,
91,,820,,870,,,,
92,,800,,850,,,,
93,,800,,850,,,,
94,,800,,850,,,,
95,,780,,830,,,,
96,,780,,830,,,,
97,,780,,830,,,,
98,,760,,810,,,,
99,,760,,810,,,,
100,,760,,810,,,,
